Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,IndikatorLabelShort,Wohnviertel_id,Wohnviertel,Rang,Indikator-Kategorie,Gewichtung_Text,Bewertung_Text,Einheit,wert_txt
2023,1,2022,2022,0.0156934307,Sozialhilfequote,Anteil Sozialhilfeempfänger,1,Altstadt Grossbasel,2,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,57%"
2023,1,2022,2022,0.0242159587,Sozialhilfequote,Anteil Sozialhilfeempfänger,2,Vorstädte,7,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,42%"
2023,1,2022,2022,0.0258296121,Sozialhilfequote,Anteil Sozialhilfeempfänger,3,Am Ring,8,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,58%"
2023,1,2022,2022,0.0441371681,Sozialhilfequote,Anteil Sozialhilfeempfänger,4,Breite,11,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,41%"
2023,1,2022,2022,0.0223644761,Sozialhilfequote,Anteil Sozialhilfeempfänger,5,St. Alban,5,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,24%"
2023,1,2022,2022,0.0495732799,Sozialhilfequote,Anteil Sozialhilfeempfänger,6,Gundeldingen,13,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,96%"
2023,1,2022,2022,0.0146717332,Sozialhilfequote,Anteil Sozialhilfeempfänger,7,Bruderholz,1,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,47%"
2023,1,2022,2022,0.0185011202,Sozialhilfequote,Anteil Sozialhilfeempfänger,8,Bachletten,4,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,85%"
2023,1,2022,2022,0.0375106564,Sozialhilfequote,Anteil Sozialhilfeempfänger,9,Gotthelf,10,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,75%"
2023,1,2022,2022,0.0745019451,Sozialhilfequote,Anteil Sozialhilfeempfänger,10,Iselin,19,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"7,45%"
2023,1,2022,2022,0.0620600414,Sozialhilfequote,Anteil Sozialhilfeempfänger,11,St. Johann,17,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,21%"
2023,1,2022,2022,0.0540206186,Sozialhilfequote,Anteil Sozialhilfeempfänger,12,Altstadt Kleinbasel,15,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"5,4%"
2023,1,2022,2022,0.0598829356,Sozialhilfequote,Anteil Sozialhilfeempfänger,13,Clara,16,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"5,99%"
2023,1,2022,2022,0.0240110554,Sozialhilfequote,Anteil Sozialhilfeempfänger,14,Wettstein,6,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,4%"
2023,1,2022,2022,0.0442880347,Sozialhilfequote,Anteil Sozialhilfeempfänger,15,Hirzbrunnen,12,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,43%"
2023,1,2022,2022,0.0634735202,Sozialhilfequote,Anteil Sozialhilfeempfänger,16,Rosental,18,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,35%"
2023,1,2022,2022,0.0850994669,Sozialhilfequote,Anteil Sozialhilfeempfänger,17,Matthäus,20,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,51%"
2023,1,2022,2022,0.106006563,Sozialhilfequote,Anteil Sozialhilfeempfänger,18,Klybeck,22,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"10,6%"
